mean,med,std,mean_gray,med_gray,std_gray,mean_hsv,med_hsv,std_hsv,histRed_mean,histRed_med,histRed_std,histGreen_mean,histGreen_med,histGreen_std,histBlue_mean,histBlue_med,histBlue_std,histGray_mean,histGray_med,histGray_std,histHue_mean,histHue_med,histHue_std,histSat_mean,histSat_med,histSat_std,histValue_mean,histValue_med,histValue_std,class
96.23756666666667,94.0,39.17704764372743,102.2328,101.0,36.849556363136855,78.04828333333333,73.0,41.728684203870955,78.125,94.5,66.12565,78.125,57.0,76.10478,78.125,51.0,81.301186,78.125,63.5,74.46775,78.125,0.0,175.83345,78.125,47.0,79.575,78.125,63.5,74.62782,Tree
72.88525833333334,59.0,47.08983923682402,78.497475,65.0,46.84037140783979,74.580775,67.0,40.35135097365855,156.25,96.0,174.6552,156.25,122.5,156.14703,156.25,51.0,215.91461,156.25,102.0,170.05821,156.25,2.0,285.6354,156.25,68.5,175.0592,156.25,117.5,156.91832,Tree
115.94548333333333,121.0,43.64192874518406,121.484125,130.0,41.483666038386424,81.294925,76.0,51.12915600950572,156.25,150.0,128.8419,156.25,142.0,157.24416,156.25,112.0,151.91869,156.25,144.5,151.68243,156.25,13.5,315.1665,156.25,81.0,157.06888,156.25,138.0,150.4392,Tree
108.36718333333333,106.0,48.73020582485831,112.9728,112.0,46.818518346483366,76.02856666666666,63.0,49.87924702664983,78.125,87.5,49.476795,78.125,73.5,62.253326,78.125,57.0,63.884785,78.125,83.5,59.0094,78.125,1.5,144.90086,78.125,40.0,91.14335,78.125,81.5,56.998493,Tree
130.46653333333333,126.0,68.3875051695524,134.980525,130.0,65.57369286325405,81.33974166666667,63.0,65.60783922113725,156.25,160.5,68.72846,156.25,167.0,79.45778,156.25,158.0,85.79768,156.25,170.0,77.34531,156.25,0.0,354.37906,156.25,115.5,183.71118,156.25,165.5,77.19385,Tree
82.139675,75.0,43.9178619610257,89.6633,84.0,43.939527570400664,79.13983333333333,73.0,40.3913115241247,156.25,158.5,127.23953,156.25,169.0,121.92162,156.25,42.0,186.92883,156.25,161.0,130.35889,156.25,0.0,337.6992,156.25,54.0,189.42422,156.25,169.0,122.283134,Tree
72.05909166666666,60.0,45.06891704018337,79.755475,69.0,43.87805069193907,79.75876666666667,69.0,43.851611598802414,156.25,137.0,151.04886,156.25,154.5,141.00848,156.25,34.5,219.80249,156.25,133.0,152.78061,156.25,0.0,386.64478,156.25,90.5,169.45892,156.25,155.0,140.83066,Tree
93.1804,90.0,46.89450720329621,100.34535,103.0,44.923178687371404,80.388025,72.0,47.23029654363156,156.25,197.5,113.248825,156.25,193.0,125.26191,156.25,89.5,156.43167,156.25,200.5,126.53958,156.25,10.5,298.7262,156.25,131.5,138.34871,156.25,192.0,119.642075,Tree
130.96493333333333,127.0,66.35094224647872,135.884875,131.0,63.462992138996846,81.061875,62.0,64.64574010057463,156.25,164.0,64.48092,156.25,172.0,79.3074,156.25,149.0,85.46646,156.25,173.5,75.484375,156.25,0.5,350.64487,156.25,122.0,173.33649,156.25,170.5,74.72319,Tree
63.832316666666664,53.0,37.0825628245009,69.826125,59.0,37.33087853887683,74.90514166666667,69.0,35.27329103202493,156.25,99.5,194.14108,156.25,104.5,175.56584,156.25,14.0,248.86444,156.25,88.0,190.29622,156.25,0.0,311.99448,156.25,53.5,195.40923,156.25,100.0,176.45981,Tree
97.30185,95.0,38.82501088101371,102.57475,101.0,36.65356343437156,78.44833333333334,75.0,42.11047411933943,78.125,88.5,67.35923,78.125,53.0,78.34125,78.125,51.5,80.78825,78.125,65.5,76.04131,78.125,0.0,167.17348,78.125,54.0,77.84314,78.125,64.5,76.416725,Tree
134.76183333333333,135.0,47.69419838903074,142.468775,145.0,43.258064277072954,91.561075,84.0,57.32595153893544,156.25,191.0,108.78624,156.25,166.5,134.11407,156.25,139.5,131.47838,156.25,180.5,131.08853,156.25,2.0,383.49045,156.25,90.5,175.5328,156.25,180.5,128.99818,Tree
95.606675,92.0,44.134109678467986,102.8397,105.0,40.321085723353235,83.434425,81.0,46.66327124465995,156.25,202.0,122.05903,156.25,110.0,151.56413,156.25,88.0,172.8188,156.25,118.0,146.97842,156.25,1.0,373.02686,156.25,120.5,163.50832,156.25,169.5,141.30986,Tree
45.80585,36.0,25.785431076045636,50.3476,39.0,26.518724973874594,69.19145,65.0,30.332878150572853,78.125,1.0,166.36615,78.125,2.0,137.20056,78.125,0.0,184.30219,78.125,0.5,154.5709,78.125,0.0,201.20978,78.125,22.0,111.15754,78.125,2.0,141.2637,Tree
125.57043333333333,123.0,39.64268771344289,131.4423,129.0,35.3603000653275,90.44643333333333,99.0,52.32473886488961,156.25,93.0,138.40097,156.25,72.5,168.75237,156.25,86.0,159.0927,156.25,73.5,168.41632,156.25,7.5,418.1057,156.25,141.0,160.25874,156.25,78.0,176.04248,Tree
75.92415833333334,68.0,42.006874711665915,84.02925,79.0,41.70905350685268,80.776925,74.0,40.820404569418976,156.25,147.5,150.81303,156.25,161.0,135.11827,156.25,20.0,218.45177,156.25,149.0,148.6746,156.25,0.0,419.18005,156.25,74.5,166.49559,156.25,160.5,136.54587,Tree
100.00048333333334,92.0,40.32001818492962,103.857,95.0,38.95619977615887,92.20420833333333,93.0,35.55796522051373,156.25,129.0,163.35037,156.25,98.0,161.28851,156.25,39.0,229.38942,156.25,71.5,171.54582,156.25,0.0,387.28992,156.25,25.5,221.73538,156.25,56.0,188.57741,Tree
125.65120833333333,128.0,36.00367716460728,137.754975,134.0,24.972091176939408,94.17775833333333,101.0,50.88858968676833,156.25,28.5,208.98106,156.25,19.0,250.37463,156.25,23.5,229.54663,156.25,22.0,237.02217,156.25,1.0,638.14966,156.25,30.0,225.49834,156.25,24.0,245.62766,Tree
106.08160833333334,101.0,43.379000085447615,113.766775,114.0,40.879649963024086,87.27344166666667,88.0,50.16512637933777,156.25,217.0,114.58475,156.25,180.5,128.41385,156.25,69.5,181.93704,156.25,176.0,134.45605,156.25,2.0,382.6618,156.25,214.5,111.74242,156.25,187.0,131.1633,Tree
78.52715,67.0,48.28864821270972,86.96405,76.0,48.64679904780478,82.83628333333333,76.0,42.811687425122464,156.25,162.0,143.94421,156.25,179.5,125.131615,156.25,37.5,203.64763,156.25,176.0,140.41907,156.25,0.0,333.81772,156.25,42.5,204.68626,156.25,176.0,127.0043,Tree
111.83413333333333,110.0,39.772638898061004,116.83335,116.0,37.75520928001195,75.52485833333333,68.0,47.559756609237716,156.25,155.0,129.6767,156.25,109.5,148.24051,156.25,150.0,154.31621,156.25,121.0,144.87672,156.25,0.0,385.13907,156.25,39.0,184.02023,156.25,120.5,144.34921,Tree
90.148,83.0,44.57122198609023,92.93655,86.0,43.82208260794437,64.94908333333333,56.0,41.452604552183715,78.125,71.5,60.8698,78.125,68.0,69.65552,78.125,52.0,75.66193,78.125,61.0,67.6589,78.125,2.0,133.98993,78.125,4.5,111.054344,78.125,65.0,66.477264,Tree
